N,Diff,prevalence,p_error
57,1,0.005,0.24852315647914103
57,1,0.01,0.43609480954761215
57,1,0.05,0.9462664540172596
58,1,0.0001,0.0057835008136187804
58,1,0.0005,0.02859058062568609
58,1,0.001,0.05637743627193936
58,1,0.005,0.2522805406967453
58,1,0.01,0.441733861452136
58,1,0.05,0.9489531313163966
59,1,0.0001,0.005882922463537388
59,1,0.0005,0.02907628533537321
59,1,0.001,0.057321058835667515
59,1,0.005,0.2560191379932616
59,1,0.01,0.4473165228376147
59,1,0.05,0.9515054747505768
60,1,0.0001,0.005982334171291015
60,1,0.0005,0.029561747192705545
60,1,0.001,0.0582637377768318
60,1,0.005,0.25973904230329525
60,1,0.01,0.45284335760923855
60,1,0.05,0.9539302010130479
61,1,0.0001,0.006081735937873978
61,1,0.0005,0.030046966319109192
61,1,0.001,0.05920547403905496
61,1,0.005,0.26344034709177877
61,1,0.01,0.4583149240331461
61,1,0.05,0.9562336909623955
62,1,0.0001,0.006181127764280148
62,1,0.0005,0.03053194283594962
62,1,0.001,0.060146268565015926
62,1,0.005,0.26712314535632
62,1,0.01,0.4637317747928146
62,1,0.05,0.9584220064142758
63,1,0.0001,0.0062805096515037295
63,1,0.0005,0.031016676864531578
63,1,0.001,0.06108612229645094
63,1,0.005,0.27078752962953834
63,1,0.01,0.4690944570448865
63,1,0.05,0.960500906093562
64,1,0.0001,0.006379881600538595
64,1,0.0005,0.03150116852609941
64,1,0.001,0.062025036174154446
64,1,0.005,0.2744335919813906
64,1,0.01,0.4744035124744377
64,1,0.05,0.9624758607888838
65,1,0.0001,0.006479243612378505
65,1,0.0005,0.03198541794183629
65,1,0.001,0.06296301113798031
65,1,0.005,0.2780614240214837
65,1,0.01,0.4796594773496933
65,1,0.05,0.9643520677494397
66,1,0.0001,0.00657859568801733
66,1,0.0005,0.032469425232865445
66,1,0.001,0.06390004812684236
66,1,0.005,0.28167111690137625
66,1,0.01,0.48486288257619636
66,1,0.05,0.9661344643619677
67,1,0.0001,0.006677937828448499
67,1,0.0005,0.03295319052024892
67,1,0.001,0.06483614807871552
67,1,0.005,0.28526276131686945
67,1,0.01,0.4900142537504344
67,1,0.05,0.9678277411438693
68,1,0.0001,0.006777270034665661
68,1,0.0005,0.033436713924988815
68,1,0.001,0.06577131193063679
68,1,0.005,0.28883644751028503
68,1,0.01,0.49511411121293003
68,1,0.05,0.9694363540866758
69,1,0.0001,0.006876592307662133
69,1,0.0005,0.033919995568026384
69,1,0.001,0.06670554061870615
69,1,0.005,0.29239226527273365
69,1,0.01,0.5001629701008007
69,1,0.05,0.970964536382342
70,1,0.0001,0.006975904648431452
70,1,0.0005,0.03440303557024238
70,1,0.001,0.06763883507808743
70,1,0.005,0.29593030394637
70,1,0.01,0.5051613403997928
70,1,0.05,0.9724163095632249
71,1,0.0001,0.007075207057966604
71,1,0.0005,0.034885834052457265
71,1,0.001,0.06857119624300934
71,1,0.005,0.29945065242663815
71,1,0.01,0.5101097269957948
71,1,0.05,0.9737954940850637
72,1,0.0001,0.007174499537260792
72,1,0.0005,0.035368391135431
72,1,0.001,0.0695026250467663
72,1,0.005,0.3029533991645049
72,1,0.01,0.5150086297258368
72,1,0.05,0.9751057193808105
73,1,0.0001,0.007273782087307001
73,1,0.0005,0.03585070693986325
73,1,0.001,0.07043312242171951
73,1,0.005,0.3064386321686824
73,1,0.01,0.5198585434285785
73,1,0.05,0.97635043341177
74,1,0.0001,0.007373054709098326
74,1,0.0005,0.0363327815863933
74,1,0.001,0.07136268929929779
74,1,0.005,0.309906439007839
74,1,0.01,0.5246599579942927
74,1,0.05,0.9775329117411815
75,1,0.0001,0.007472317403627415
